GeogName,GeoID,Borough,TotalPopulation2016,White2016,RateWhite2016,RateNonWhite2016,Income2016,TotalUnits2016,Owned2016,Rented2016,OwnedRate2016,RentedRate2016,Rent2016,HouseValue2016,X1_2016,X2_2016,X3_2016,GFactor2016,TotalPopulation2010,White2010,RateWhite2010,RateNonWhite2010,Income2010,TotalUnits2010,Owned2010,Rented2010,OwnedRate2010,RentedRate2010,Rent2010,HouseValue2010,X1_2010,X2_2010,X3_2010,GFactor2010,TotalPopulationChange,WhiteChange,RateWhiteChange,RateNonWhiteChange,IncomeChange,TotalUnitsChange,OwnedChange,RentedChange,OwnedRateChange,RentedRateChange,RentChange,HouseValueChange,X1_Change,X2_Change,X3_Change,GFactorChange
Lenox Hill-Roosevelt Island,MN31,Manhattan,77246,59897,0.775405846,0.224594154,91138,43034,10778,31438,0.25045313,0.730538644,1788,744510,0.267940972,0.184942696,0.241031566,0.693915234,82051,59069,0.72,0.28,105539,43924,12020,31904,0.27,0.73,2061,731316,0.25,0.21,0.12,0.58,0.06,-0.01,-0.07,0.25,0.16,0.02,0.12,0.01,0.09,-0.01,0.15,-0.02,-0.06,0.13,-0.51,-0.44
Lincoln Square,MN14,Manhattan,59387,43183,0.727145672,0.272854328,106438,31707,12621,18568,0.398050904,0.58561201,1825,886537,0.251137786,0.223996222,0.292342158,0.767476166,59691,42982,0.72,0.28,121137,32655,13125,19530,0.4,0.6,2369,968967,0.25,0.25,0.16,0.66,0.01,0,-0.01,0.03,0.14,0.03,0.04,0.05,0.01,0.02,0.3,0.09,0.01,0.1,-0.46,-0.34
Lindenwood-Howard Beach,QN57,Queens,27926,20767,0.743643916,0.256356084,68179,10774,7948,2590,0.737701875,0.24039354,1334,511741,0.256882131,0.126339434,0.156938294,0.540159858,28247,19667,0.7,0.3,68531,10477,7560,2917,0.72,0.28,1531,479918,0.24,0.12,0.08,0.44,0.01,-0.05,-0.06,0.18,0.01,-0.03,-0.05,0.13,-0.02,0.16,0.15,-0.06,-0.05,-0.07,-0.51,-0.64
Longwood,BX33,Bronx,25715,286,0.011121913,0.988878087,23753,7865,676,6956,0.085950413,0.884424666,809,378522,0.001833247,0.012941267,0.108809799,0.123584312,28961,330,0.01,0.99,25381,9040,651,8389,0.07,0.93,942,365999,0,0.01,0.06,0.07,0.13,0.15,0.03,0,0.07,0.15,-0.04,0.21,-0.16,0.05,0.16,-0.03,0.44,-0.23,-0.48,-0.27
Lower East Side,MN28,Manhattan,75055,18314,0.244007728,0.755992272,31022,29489,4517,24704,0.15317576,0.837736105,625,564243,0.08291923,0.03149552,0.175905875,0.290320626,72789,15996,0.22,0.78,31180,32016,4968,27048,0.16,0.84,746,581783,0.08,0.02,0.09,0.19,-0.03,-0.13,-0.1,0.03,0.01,0.09,0.1,0.09,0.01,0.01,0.19,0.03,-0.08,-0.23,-0.47,-0.78
Madison,BK44,Brooklyn,38605,27203,0.704649657,0.295350343,50923,14471,6582,7454,0.454840716,0.515099164,1037,603187,0.243305143,0.082293182,0.189975311,0.515573636,40122,26247,0.65,0.35,58966,14846,6974,7872,0.47,0.53,1276,596378,0.23,0.09,0.1,0.42,0.04,-0.04,-0.07,0.17,0.16,0.03,0.06,0.06,0.03,0.03,0.23,-0.01,-0.06,0.13,-0.5,-0.42
Manhattanville,MN06,Manhattan,23075,1766,0.076533044,0.923466956,25623,8014,231,7541,0.028824557,0.940978288,741,335980,0.024608038,0.017714475,0.093440502,0.135763015,23666,2357,0.1,0.9,30871,8241,342,7899,0.04,0.96,934,435064,0.03,0.02,0.07,0.13,0.03,0.33,0.3,-0.02,0.2,0.03,0.48,0.05,0.44,0.02,0.26,0.29,0.37,0.33,-0.27,0.44
Marble Hill-Inwood,MN01,Manhattan,49362,7351,0.148920222,0.851079778,40024,18159,1298,16367,0.071479707,0.901316152,942,340796,0.049811744,0.054473288,0.095180395,0.199465427,52681,8367,0.16,0.84,40278,19057,1576,17481,0.08,0.92,1171,357980,0.05,0.05,0.06,0.16,0.07,0.14,0.07,-0.01,0.01,0.05,0.21,0.07,0.16,0.02,0.24,0.05,0.1,-0.14,-0.42,-0.46
Mariners Harbor-Arlington-Port Ivory-Graniteville,SI12,Staten Island,31463,8135,0.258557671,0.741442329,56389,10326,6285,3981,0.608657757,0.385531668,968,354309,0.087985217,0.096245246,0.100062284,0.284292747,29956,6913,0.23,0.77,59106,10040,6074,3966,0.61,0.4,1053,319676,0.08,0.09,0.05,0.22,-0.05,-0.15,-0.11,0.04,0.05,-0.03,-0.03,0,-0.01,0.02,0.09,-0.1,-0.09,-0.03,-0.51,-0.63
Maspeth,QN30,Queens,29569,18678,0.631675065,0.368324935,60278,10762,5686,4863,0.528340457,0.451867683,1229,551996,0.217896912,0.106171989,0.171481359,0.495550259,29111,15685,0.54,0.46,62820,10838,5550,5288,0.51,0.49,1453,546274,0.19,0.1,0.09,0.38,-0.02,-0.16,-0.15,0.25,0.04,0.01,-0.02,0.09,-0.03,0.08,0.18,-0.01,-0.13,-0.03,-0.49,-0.66
